Title;State;VlogLink;Published
"Ache des marais";"https://www.youtube.com/watch?v=sviNub6d2yk";"il y a 4 ans";
"Achillée millefeuille : saignements, douleurs des règles...";"https://www.youtube.com/watch?v=0meAqoQRqEU";"il y a 3 ans";
"Addiction au sport : quelles plantes utiliser ?";"https://www.youtube.com/watch?v=QswsOZT3kzY";"il y a 2 ans";
"Agripaume : plante médicinale oubliée";"https://www.youtube.com/watch?v=ua1b6V3jFMs";"il y a 5 ans";
"Aigremoine (Agrimonia eupatoria) : angines, calculs urinaires, insuffisance veineuse";"https://www.youtube.com/watch?v=PRk1oDvMKpE";"il y a 3 ans";
"Aiguilles de pin sylvestre : le vrai du faux (suramine, acide shikimique, etc.)";"https://www.youtube.com/watch?v=iV66aeJ3NKA";"il y a 11 mois";
"Ail des ours : détox, problèmes de peau, protection cardiovasculaire";"https://www.youtube.com/watch?v=oU-0Aum7oYg";"il y a 3 ans";
"Alchémille (Alchemilla vulgaris) : astringente, règles abondantes et douloureuses";"https://www.youtube.com/watch?v=bglROjBJu_M";"il y a 3 ans";
"Alliaire officinale poumons, détox, plaies et problèmes de peau";"https://www.youtube.com/watch?v=xGOd-Kbi6_w";"il y a 3 mois";
"Anti-vieillissement prématuré : comment réfléchir au problème ?";"https://www.youtube.com/watch?v=C7G9dSPc-oE";"il y a 4 ans";
"Apaiser un enfant avec les plantes";"https://www.youtube.com/watch?v=-72F9pXaeWQ";"il y a 3 ans";
"Armoise annuelle (Artemisia annua) : malaria et cancer";"https://www.youtube.com/watch?v=YFiPRfD60QA";"il y a 3 ans";
"Arroser ses graines de médicinales pour une bonne germination";"https://www.youtube.com/watch?v=ngsL5OFOesM";"il y a 5 ans";
"Aubier de tilleul";"https://www.youtube.com/watch?v=RqA_nhKdSH8";"il y a 4 ans";
"Aubépine (Crataegus monogyna, C. laevigata)";"https://www.youtube.com/watch?v=5R6yf7f-ch4";"il y a 3 ans";
"BDH n°1 - néflier, lierre grimpant, bugrane - arthrose, calculs rénaux";"https://www.youtube.com/watch?v=a2azSzoqT9c";"il y a 1 an";
"BDH3 : romarin pour sommeil, lutéoline pour anosmie";"https://www.youtube.com/watch?v=8kk5V8PUt9U";"il y a 7 mois";
"Bacopa : mémoire, capacités cognitives, alzheimer";"https://www.youtube.com/watch?v=X6uKQvjIgnY";"il y a 4 ans";
"Bain d'oeil à base de plantes";"https://www.youtube.com/watch?v=wiusdQbPn2U";"il y a 7 ans";
"Barbe de maïs : comment l'utiliser ?";"https://www.youtube.com/watch?v=WjSIWYXW7aU";"il y a 4 ans";
"Basilic sacré (tulsi)";"https://www.youtube.com/watch?v=EoZm8zX-UoI";"il y a 4 ans";
"Bienfaits de la betterave rouge : hypertension, maladie de Raynaud, troubles cognitifs";"https://www.youtube.com/watch?v=cyz_TrNc594";"il y a 5 mois";
"Bienfaits de la figue et du figuier (Ficus carica)";"https://www.youtube.com/watch?v=nXS5Gz14GO4";"il y a 1 an";
"Bienfaits des baies de goji : tonique nutritif, protection contre les maladies dégénératives";"https://www.youtube.com/watch?v=HUa5HhRUmg4";"il y a 10 mois";
"Bienfaits des graines de courge : parasites intestinaux, vessie irritable, prostate";"https://www.youtube.com/watch?v=tH5P6mqQCvs";"il y a 1 an";
