Title;State;VlogLink;Published
"Une révolution déguisée en technique de jardinage";"https://www.youtube.com/watch?v=zW6jebPOPS4";"il y a 7 mois";
"🌍✔️DES SOLUTIONS POUR CHANGER LE MONDE🌍✔️";"https://www.youtube.com/watch?v=SVmb5oR9ZHE";"il y a 4 mois";
"🌞🔋⚠️PHOTOVOLTAIQUE – LES PIÈGES A ÉVITER🌞🔋⚠️";"https://www.youtube.com/watch?v=DY3YRaJbjbU&t=4s";"il y a 1 mois";
"🌞🔋⚡💡Photovoltaïque : ce que l'on peut alimenter, et ce qu'on ne peut pas alimenter 🌞🔋⚡💡";"https://www.youtube.com/watch?v=BJ2E3OwaZMw";"il y a 7 mois";
"🌞🔋💰 PHOTOVOLTAÏQUE AUTONOME À PETIT BUDGET🌞🔋💰";"https://www.youtube.com/watch?v=Uha9qzXV9bI";"il y a 2 semaines";
"🌳🍒😍 Faire ses greffes en pratique 🌳🍒😍";"https://www.youtube.com/watch?v=47_kInpGXP4";"il y a 6 mois";
"🌳😀TILLEUL - L'ARBRE DE L'AUTONOMIE ALIMENTAIRE🌳😀";"https://www.youtube.com/watch?v=a2sq-OtgTbU";"il y a 3 mois";
"🌼🌺🤩FLEURS COMESTIBLES – UN VRAI BONHEUR🌼🌺🤩";"https://www.youtube.com/watch?v=aFt3zp22KY8";"il y a 3 mois";
"🍀🌼TISANES MAISON DE NINA🍀🌼";"https://www.youtube.com/watch?v=bfJopnZ011w";"il y a 5 mois";
"🍀🍀🍀OPERATION ABONDANCE ALIMENTAIRE🍀🍀🍀";"https://www.youtube.com/watch?v=UDNSawYU-TA";"il y a 2 mois";
"🍀🐸MAUVAISES HERBES ? QU'EN FAIRE ?🍀🐸";"https://www.youtube.com/watch?v=1VQrJav2H80";"il y a 4 mois";
"🍀😀LA PERMACULTURE APPLIQUÉE AUX RELATIONS HUMAINES🍀😀";"https://www.youtube.com/watch?v=Rd30aGxQcq8";"il y a 1 mois";
"🍒🍑🍇🍐CONSERVER LES FRUITS : 18 MÉTHODES - partie 1🍒🍑🍇🍐";"https://www.youtube.com/watch?v=1kcvgWFdJUM";"il y a 2 jours";
"🏙️💪✅RESILIENCE EN VILLE ET EN APPARTEMENT🏙️💪✅";"https://www.youtube.com/watch?v=KReXycizKC8";"il y a 3 mois";
"🐝🐞🐸🌼FAVORISER LA BIODIVERSITÉ🐝🐞🐸🌼";"https://www.youtube.com/watch?v=E8X244IXAp0";"il y a 4 semaines";
"💰🛡️🍀RESILIENCE FINANCIERE – COMMENT PROTEGER SES ECONOMIES ?💰🛡️🍀";"https://www.youtube.com/watch?v=XrQ5q3Jfm1A";"il y a 2 mois";
"🔋⚠️Autonomie santé : Hyperactif = Hyper fatigué 🔋⚠️";"https://www.youtube.com/watch?v=LoY5Cbyvd_g";"il y a 5 mois";
"😀🌵❤️PERMACULTURE  - LES CHARDONS SONT NOS AMIS😀🌵❤️";"https://www.youtube.com/watch?v=jW3mWdj3kBk";"il y a 3 mois";
"😀🍀 QUESTIONS – RÉPONSES 😀🍀";"https://www.youtube.com/watch?v=JLwZGdsvJcQ";"il y a 2 mois";
"😀🍎🍑🍐🍒Greffes   partie 1 - portes-greffes et greffons😀🍎🍑🍐🍒";"https://www.youtube.com/watch?v=fX5j-qgXidY";"il y a 7 mois";
"😀🐝🐝APICULTURE – ESSAIM NATUREL OU ARTIFICIEL ?😀🐝🐝";"https://www.youtube.com/watch?v=35dgaUlgheg";"il y a 3 mois";
"😀💪Plus AUTONOMES grâce à la RÉSILIENCE COLLECTIVE😀💪";"https://www.youtube.com/watch?v=WjhrOziSDVc";"il y a 6 mois";
"😀🧠AUTONOMIE MENTALE : REPROGRAMMONS NOTRE CERVEAU😀🧠";"https://www.youtube.com/watch?v=SFzf2-mHya8";"il y a 4 mois";
"😇🙌🕊️GÉRER LES PERSONNALITÉS TOXIQUES😇🙌🕊️";"https://www.youtube.com/watch?v=7GhVPqVWK50";"il y a 2 mois";
"😋 🍏🥕🍗🥫Stock alimentaire - Nos astuces pour l'organiser facilement 😋 🍏🥕🍗🥫";"https://www.youtube.com/watch?v=Qx4b_UmQG3Y";"il y a 6 mois";
"😋🍀10 PLANTES SAUVAGES POUR L'AUTONOMIE ALIMENTAIRE😋🍀";"https://www.youtube.com/watch?v=H4SsCcc-Ifg";"il y a 5 mois";
"🤩Une belle rencontre avec Bernard Bertrand et Christina Otto🤩";"https://www.youtube.com/watch?v=jxUtK6XHEbg";"il y a 7 mois";
"🤩Une belle rencontre avec Didier, de la chaîne Et Saar'part"🤩";"https://www.youtube.com/watch?v=YqoKcOGWOOk";"il y a 7 mois";
"🤩🍀🍆🥕Permaculture solidaire🤩🍀🍆🥕";"https://www.youtube.com/watch?v=G4q12bFeKTY";"il y a 5 mois";
"🤩🍆🍅Une belle rencontre avec Jean-Pierre du potager de Lunas🤩🍆🍅";"https://www.youtube.com/watch?v=4EOlqJjZQao";"il y a 6 mois";
