Title;State;VlogLink;Published
"#1 Jancovici a répondu à vos questions - 28/06/2018";"https://www.youtube.com/watch?v=DfWvfVElJug";"il y a 4 ans";
"#10 Jancovici a répondu à vos questions - 11/02/2022";"https://www.youtube.com/watch?v=A73muGZCooM";"il y a 7 mois";
"#2 Jancovici a répondu à vos questions - 06/12/2018";"https://www.youtube.com/watch?v=kHTGuAq0qWc";"il y a 3 ans";
"#3 Jancovici a répondu à vos questions - 14/06/2019";"https://www.youtube.com/watch?v=FmxzfRjWgS4";"il y a 3 ans";
"#4 Jancovici a répondu à vos questions - 02/12/2019";"https://www.youtube.com/watch?v=RIlh1MT9WsQ";"il y a 2 ans";
"#5 Jancovici a répondu à vos questions en pleine crise du coronavirus - 19/03/2020";"https://www.youtube.com/watch?v=CXA2BA9in30";"il y a 2 ans";
"#6 Jancovici a répondu à vos questions en plein confinement - 16/04/2020";"https://www.youtube.com/watch?v=QGEai5owA4w";"il y a 2 ans";
"#7 Jancovici a répondu à vos questions en cette fin de confinement - 08/05/2020";"https://www.youtube.com/watch?v=W6yS9gSx7mo";"il y a 2 ans";
"#8 Jancovici a répondu à vos questions sur les actions individuelles  - 03/11/2020";"https://www.youtube.com/watch?v=Ae6umMPIHq4";"il y a 1 an";
"#9 Jancovici a répondu à vos questions - 26/05/2021";"https://www.youtube.com/watch?v=-TEDl-Fxetc";"il y a 1 an";
"1 -  L'énergie - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=xgy0rW0oaFI";"il y a 3 ans";
"2 - Les énergies fossiles - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=1NHPgrH5lcQ";"il y a 3 ans";
"3 - Le changement climatique (1) - Cours des Mines 2019  - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=l8pdSClyRds";"il y a 3 ans";
"4 - Le changement climatique (2) - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=JKoRsO5fkAQ";"il y a 3 ans";
"5 - Les économies d'énergie - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=PEY6LmscKc4";"il y a 3 ans";
"6 - Le nucléaire - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=t0Xp6CCte0U";"il y a 3 ans";
"7 - Les énergies renouvelables - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=Z4teA8ciuRU";"il y a 3 ans";
"8 - La comptabilité  carbone - Cours des Mines 2019 - Jancovici -  [EN subtitles available]";"https://www.youtube.com/watch?v=lgoUns8Cu0w";"il y a 3 ans";
