Title;State;VlogLink;Published
"10 recettes pour manger le maïs de son jardin / 10 ways to cook your corn";"https://www.youtube.com/watch?v=24WrDyfFsY8";"il y a 2 ans";
"100% Autonome un rêve à portée de main.";"https://www.youtube.com/watch?v=zLWCootfQ64";"il y a 2 ans";
"25 ans d'electricité gratuite sans réseau et sans batterie";"https://www.youtube.com/watch?v=_a63njvv1P8";"il y a 4 ans";
"Biscuits 3D à volonté";"https://www.youtube.com/watch?v=Rru52nnqAxM";"il y a 2 ans";
"Casse noisette pro à imprimer chez soi.";"https://www.youtube.com/watch?v=CLUU20uA4Xc";"il y a 9 mois";
"Charger son téléphone avec un panneau solaire / how to charge your phone with a solar panel";"https://www.youtube.com/watch?v=iheZQVeH6lA";"il y a 2 ans";
"Châtaignes: cuire, éplucher, conserver, sécher et moudre";"https://www.youtube.com/watch?v=BQqIjK_mzdI";"il y a 2 ans";
"Comment avoir de la farine à volonté ? /How to have unlimited flour ?";"https://www.youtube.com/watch?v=DxhKPOQmyzQ";"il y a 2 ans";
"Comment avoir du pain et levain à volonté / How to have bread and yeast at will";"https://www.youtube.com/watch?v=10mnjQsYwr0";"il y a 2 ans";
"Comment faire un bureau dans sa voiture.";"https://www.youtube.com/watch?v=piT0C0HOt9s";"il y a 1 an";
"Comment moudre des céréales avec le soleil, sans batterie, sans réseau.";"https://www.youtube.com/watch?v=3R9xI8YFy3w";"il y a 6 mois";
"Comment stocker de l'électricité dans le lithium de nos poubelles";"https://www.youtube.com/watch?v=_hwj7Ds50lU";"il y a 2 ans";
"Comment transformer mon motoculteur en voiture"";"https://www.youtube.com/watch?v=3ween8uUBAg";"il y a 1 an";
"Cuisiner sans gaz / cooking without gas";"https://www.youtube.com/watch?v=l0fIm8gMbTg&t=365s";"il y a 4 mois";
"De l'électricité mais sans facture";"https://www.youtube.com/watch?v=FUGjoPsZTUQ";"il y a 2 ans";
"Douche avec panneaux photovoltaïques #4";"https://www.youtube.com/watch?v=KKvaQzRbkA8";"il y a 3 ans";
"Eau de pluie dans les WC";"https://www.youtube.com/watch?v=kXVqazu-12g";"il y a 4 ans";
"Effondrement, Recette biscuit facile noël";"https://www.youtube.com/watch?v=84hbZWlILic";"il y a 2 ans";
