Title;State;VlogLink;Published
"10 ans de Permaculture !";"https://www.youtube.com/watch?v=TLpkMz3OKvU";"il y a 3 ans";
"3 Trucs à faire en Août au Jardin";"https://www.youtube.com/watch?v=bkacvFjicBg&t=1s";"il y a 1 mois";
"3 Trucs à faire en Avril au Jardin";"https://www.youtube.com/watch?v=WS40hHI8yB4";"il y a 5 mois";
"3 Trucs à faire en Décembre au Jardin";"https://www.youtube.com/watch?v=o2A0UA_tsDY";"il y a 9 mois";
"3 Trucs à faire en Février au Jardin";"https://www.youtube.com/watch?v=VDvyGwyhFWc";"il y a 7 mois";
"3 Trucs à faire en Janvier au Jardin";"https://www.youtube.com/watch?v=5ShdlruxnwI";"il y a 8 mois";
"3 Trucs à faire en Juillet au Jardin";"https://www.youtube.com/watch?v=OcO3XRZw2AI";"il y a 2 mois";
"3 Trucs à faire en Juin au Jardin";"https://www.youtube.com/watch?v=WCo4WDHVr0s";"il y a 3 mois";
"3 Trucs à faire en Mai au Jardin";"https://www.youtube.com/watch?v=zNE8yd5yecg";"il y a 4 mois";
"3 Trucs à faire en Mars au Jardin";"https://www.youtube.com/watch?v=UM3T44V99C4";"il y a 6 mois";
"3 Trucs à faire en Septembre au Jardin";"https://www.youtube.com/watch?v=PmWl6oY8ChI";"il y a 11 jours";
"5 Sauvages n°1";"https://www.youtube.com/watch?v=sw-_HTEgOxM";"il y a 3 ans";
"5 Sauvages n°2";"https://www.youtube.com/watch?v=A3Lf0Kz5ZYg";"il y a 2 ans";
"5 fruits sauvages au jardin en septembre";"https://www.youtube.com/watch?v=0QMy_768M24";"il y a 4 jours";
"5 plantes sauvages au jardin (juillet et juin)";"https://www.youtube.com/watch?v=E6SxWst-Exg";"il y a 2 mois";
"7 strates végétales";"https://www.youtube.com/watch?v=c5zJvJ7d3ic";"il y a 7 ans";
"Abeilles et Apiculture avec Bernard Bertrand";"https://www.youtube.com/watch?v=gLZUIRDsdFE";"il y a 3 ans";
"Abondance au Jardin ! (septembre)";"https://www.youtube.com/watch?v=dTew0NQhTUM";"il y a 2 ans";
"Analyse de vos avis sur ma chaîne youtube !";"https://www.youtube.com/watch?v=2Ere2okJkbQ";"il y a 5 ans";
"Animaux, Vidéos et Légumes... C'est la rentrée !";"https://www.youtube.com/watch?v=tJYSXaz-lJE";"il y a 1 an";
"Août, visite très rapide du jardin";"https://www.youtube.com/watch?v=KppJWXKNmt4";"il y a 3 semaines";
"Apiculture et Abeilles sauvages";"https://www.youtube.com/watch?v=6F4mo5ecVAs";"il y a 6 ans";
"Arbres fruitiers : Pollinisation et Fructification";"https://www.youtube.com/watch?v=GAeX5STra0A";"il y a 6 ans";
"Autonomie Alimentaire (quelle surface ?)";"https://www.youtube.com/watch?v=tMfQpklT-dI";"il y a 3 ans";
"Avoir un Cheval !";"https://www.youtube.com/watch?v=am1hwkFxy-U";"il y a 4 ans";
"Bananes et Mandarines au jardin !";"https://www.youtube.com/watch?v=z21ooToVGFs";"il y a 4 ans";
"Bibliothèque sur la Permaculture au jardin.";"https://www.youtube.com/watch?v=_m8ZzA__thc";"il y a 7 ans";
"Bouturer des Forêts";"https://www.youtube.com/watch?v=OXKMcZWpAq0";"il y a 2 ans";
