Title;State;VlogLink;Published
"Abandoned Land to Starting Homestead in 6 Months";"https://www.youtube.com/watch?v=yORlix6CV60";"il y a 1 mois";
"Broadfork: How and Why to Use it & Why We Stopped Using Ours";"https://www.youtube.com/watch?v=gm0SPAuDrK8";"il y a 2 ans";
"Building a DIY Fire Pit with Flagstone Patio (3 Days Start to Finish)";"https://www.youtube.com/watch?v=Xqr3Jo5SiyA";"il y a 2 mois";
"Building a Pond On Our Off Grid Homestead";"https://www.youtube.com/watch?v=W7GUs9z_9zs";"il y a 3 mois";
"Convert Your Lawn into a Profitable Vegetable Farm";"https://www.youtube.com/watch?v=g2DDQ-uuLl0";"il y a 2 ans";
"Different Ways to Sell Your Home-Grown Vegetables";"https://www.youtube.com/watch?v=bRZ1FeoUcWs";"il y a 11 mois";
"Easy No Dig Plant Border (Around a Tree)";"https://www.youtube.com/watch?v=17goTFkUxzw";"il y a 2 mois";
"From Summer to Fall Market Gardening";"https://www.youtube.com/watch?v=iwL9FwwCVgA";"il y a 1 an";
"Harvesting Potatoes: From Start to Finish";"https://www.youtube.com/watch?v=otg0BQ4VoV8";"il y a 1 mois";
"How To Start A New Garden (From Start to Finish)";"https://www.youtube.com/watch?v=0aNOPuXHCLQ";"il y a 1 an";
"How to Direct Sow Seeds Fast";"https://www.youtube.com/watch?v=ZsJVsQe66ko";"il y a 1 an";
"How to Make a No Dig Garden Bed";"https://www.youtube.com/watch?v=TVoruCmpfUI";"il y a 1 an";
"How to Minimize Farm Startup Costs";"https://www.youtube.com/watch?v=IEqZY2xs6-Q";"il y a 1 an";
"How to Plant Garlic From Start to Finish";"https://www.youtube.com/watch?v=BNR8b4_o2LA";"il y a 1 an";
"How to Prune Tomatoes for Maximum Harvest";"https://www.youtube.com/watch?v=h6ly4g5SC2o";"il y a 2 ans";
"How to Start a Farm From Scratch (Beginner's Guide to Growing Vegetables for Profit)";"https://www.youtube.com/watch?v=fRlUhUWS0Hk";"il y a 2 ans";
"Installing Irrigation & Running Water On Off Grid Land";"https://www.youtube.com/watch?v=q3chJ_6DkKQ";"il y a 2 mois";
"Is Market Gardening Profitable? Making a Living On a Small Farm";"https://www.youtube.com/watch?v=IJ04HY1wD1k";"il y a 2 ans";
"Market Garden Tools (Low Cost Start-Up)";"https://www.youtube.com/watch?v=yUFr0C1FJjE";"il y a 2 ans";
"Market Gardening in April (A Day in The Life of a Farmer in April)";"https://www.youtube.com/watch?v=1JgWrFENqy0";"il y a 2 ans";
"Market Gardening in February (A Day in The Life of a Farmer in February)";"https://www.youtube.com/watch?v=KB7mGo8RY2k";"il y a 2 ans";
"Market Gardening in January (A Day in The Life of a Farmer in January)";"https://www.youtube.com/watch?v=ScBleHwOkgA";"il y a 2 ans";
"Market Gardening in July";"https://www.youtube.com/watch?v=SaujrNQ2iOw";"il y a 2 ans";
"Market Gardening in June (A Day in The Life of a Farmer in June)";"https://www.youtube.com/watch?v=d1OJTXRhy4k";"il y a 2 ans";
"Market Gardening in March (A Day in The Life of a Farmer in March)";"https://www.youtube.com/watch?v=xILmYuRdjUM";"il y a 2 ans";
"Market Gardening in May: Garden Tour";"https://www.youtube.com/watch?v=y-pugIGF5TU";"il y a 2 ans";
"Meet The Dutch Farmer";"https://www.youtube.com/watch?v=gXToMg6tqQk";"il y a 2 ans";
"NEVER Buy This Type of Cheap Off-Grid Land";"https://www.youtube.com/watch?v=v02JLhjN2Vw&t=175s";"il y a 13 jours";
"No Dig Market Gardening: Seeding, Harvesting, Planting";"https://www.youtube.com/watch?v=Xy-hGfP22Mk";"il y a 2 ans";
"Starting a Farm From Scratch: 5 Things to Know";"https://www.youtube.com/watch?v=Sh0Eig6Xf9E";"il y a 2 ans";
"Starting a Farm: 7 Tips for Beginners";"https://www.youtube.com/watch?v=mJ-MeA-W1Ts";"il y a 2 ans";
"Starting a Food Forest On 5 New Swales";"https://www.youtube.com/watch?v=ushKuad2U3k";"il y a 2 mois";
"We Bought Abandoned Land in Portugal";"https://www.youtube.com/watch?v=QuQScsROrEI";"il y a 3 mois";
"We Started a Food Forest Next to Our New Road";"https://www.youtube.com/watch?v=t8i17l11R04";"il y a 3 mois";
"What is No Dig Gardening?";"https://www.youtube.com/watch?v=ij0e1RDgj6E";"il y a 1 an";
